time,mpg
2025-08-17T20:17:36Z,13.8
2025-08-17T20:17:41Z,11.2
2025-08-17T20:17:46Z,8.8
2025-08-17T20:17:51Z,6.8
2025-08-17T20:17:56Z,4.9
2025-08-17T20:18:01Z,4.6
2025-08-17T20:18:06Z,4.8
2025-08-17T20:18:11Z,4.8
2025-08-17T20:18:16Z,4.9
2025-08-17T20:18:21Z,4.7
2025-08-17T20:18:26Z,4.9
2025-08-17T20:18:31Z,4.8
2025-08-17T20:18:36Z,4.8
2025-08-17T20:18:41Z,4.8
2025-08-17T20:18:46Z,4.7
2025-08-17T20:18:51Z,4.8
2025-08-17T20:18:56Z,4.9
2025-08-17T20:19:01Z,4.7
2025-08-17T20:19:06Z,4.8
2025-08-17T20:19:11Z,4.8
2025-08-17T20:19:16Z,4.8
2025-08-17T20:19:21Z,4.7
2025-08-17T20:19:26Z,3.5
2025-08-17T20:19:31Z,2.8
2025-08-17T20:19:36Z,2.6
2025-08-17T20:19:41Z,2.9
2025-08-17T20:19:46Z,12.7
2025-08-17T20:19:51Z,10.9
2025-08-17T20:19:56Z,8.8
2025-08-17T20:20:01Z,6.4
